Quantity,Store_Name,Region,Sales_Value,Present_In_N_Orders
25,Chelsea,West,8550.549999999997,48
50,Chelsea,West,9338.789999999999,52
100,Chelsea,West,7989.929999999998,43
250,Chelsea,West,6574.199999999999,40
500,Chelsea,West,11110.999999999996,62
750,Chelsea,West,8822.719999999998,55
1000,Chelsea,West,7253.31,46
25,Dulwich,East,8788.93,51
50,Dulwich,East,9255.960000000005,50
100,Dulwich,East,9079.9,49
250,Dulwich,East,9994.590000000002,62
500,Dulwich,East,12565.489999999993,65
750,Dulwich,East,15411.240000000003,90
1000,Dulwich,East,11361.470000000005,61
25,Lewisham,East,10816.880000000001,58
50,Lewisham,East,14005.22,79
100,Lewisham,East,10640.340000000006,60
250,Lewisham,East,12470.06,71
500,Lewisham,East,11827.430000000002,68
750,Lewisham,East,9944.910000000005,64
1000,Lewisham,East,9029.740000000003,60
25,Notting Hill,West,9739.199999999995,54
50,Notting Hill,West,10334.18,57
100,Notting Hill,West,9379.350000000006,58
250,Notting Hill,West,10059.299999999997,47
500,Notting Hill,West,8602.31,54
750,Notting Hill,West,9160.970000000001,49
1000,Notting Hill,West,10496.830000000002,59
25,Shoreditch,East,9601.53,54
50,Shoreditch,East,10097.660000000003,67
100,Shoreditch,East,8563.370000000004,64
250,Shoreditch,East,9531.960000000001,53
500,Shoreditch,East,9541.019999999999,62
750,Shoreditch,East,10350.780000000002,63
1000,Shoreditch,East,11195.060000000001,72
25,Wimbledon,West,7578.51,46
50,Wimbledon,West,9756.429999999998,50
100,Wimbledon,West,12729.6,64
250,Wimbledon,West,10097.95,51
500,Wimbledon,West,11739.119999999994,54
750,Wimbledon,West,11888.269999999999,64
1000,Wimbledon,West,8489.15,49
