Date,Value,Mins,Type,Coach,Calories,Music_Type,Calorie_Rank,Music_Type_Rank
2021-03-24,45,min,Apple Fitness,Bakari,707,Pure Dance,3,1
2021-01-09,45,min,Apple Fitness,Kym,701,Pure Dance,3,2
2021-03-17,45,min,Apple Fitness,Tyrell,694,Pure Dance,1,3
2021-03-06,30,min,Apple Fitness,Bakari,472,Pure Dance,8,4
2022-08-01,30,min,Apple Fitness,Bakari,470,Pure Dance,9,5
2021-03-20,30,min,Apple Fitness,Bakari,458,Pure Dance,12,6
2021-02-20,30,min,Apple Fitness,Bakari,445,Pure Dance,13,7
2021-01-24,30,min,Apple Fitness,Sherica,438,Pure Dance,8,8
2021-01-10,30,min,Apple Fitness,Tyrell,438,Pure Dance,10,8
2021-06-01,30,min,Apple Fitness,Sherica,412,Pure Dance,12,9
2021-01-18,30,min,Apple Fitness,Kym,394,Pure Dance,18,10
2021-01-12,30,min,Apple Fitness,Bakari,377,Pure Dance,15,11
2021-01-15,20,min,Apple Fitness,Gregg,273,Pure Dance,12,12
2021-02-04,20,min,Apple Fitness,Gregg,254,Pure Dance,15,13
2020-12-24,45,min,Apple Fitness,Sherica,588,Latest Hits,5,1
2020-12-19,45,min,Apple Fitness,Bakari,565,Latest Hits,6,2
2021-03-27,20,min,Apple Fitness,Sherica,323,Latest Hits,14,3
2020-12-23,20,min,Apple Fitness,Emily,279,Latest Hits,3,4
2021-01-31,20,min,Apple Fitness,Tyrell,260,Latest Hits,13,5
2021-01-22,10,min,Apple Fitness,Sherica,149,Latest Hits,19,6
2021-01-03,45,min,Apple Fitness,Tyrell,668,Hiphop,3,1
2021-02-12,45,min,Apple Fitness,Tyrell,634,Hiphop,7,2
2021-02-24,45,min,Apple Fitness,Sherica,633,Hiphop,3,3
2021-04-26,30,min,Apple Fitness,Bakari,466,Hiphop,10,4
2021-05-13,30,min,Apple Fitness,Tyrell,439,Hiphop,9,5
2021-01-27,30,min,Apple Fitness,Tyrell,431,Hiphop,11,6
2021-02-05,30,min,Apple Fitness,Kym,419,Hiphop,15,7
2021-02-06,30,min,Apple Fitness,Sherica,394,Hiphop,13,8
2021-03-08,20,min,Apple Fitness,Gregg,308,Hiphop,9,9
2020-12-21,20,min,Apple Fitness,Kym,271,Hiphop,21,10
2021-02-18,10,min,Apple Fitness,Kym,180,Hiphop,24,11
2021-06-08,10,min,Apple Fitness,Gregg,168,Hiphop,16,12
2021-03-10,45,min,Apple Fitness,Kym,727,Everything Rock,1,1
2022-08-16,45,min,Apple Fitness,Sherica,685,Everything Rock,1,2
2022-06-10,45,min,Apple Fitness,Tyrell,664,Everything Rock,5,3
2022-08-05,30,min,Apple Fitness,Tyrell,495,Everything Rock,8,4
2021-03-01,30,min,Apple Fitness,Kym,489,Everything Rock,4,5
2022-01-06,30,min,Apple Fitness,Kym,439,Everything Rock,8,6
2021-12-29,30,min,Apple Fitness ,Kym,434,Everything Rock,11,7
2022-01-05,30,min,Apple Fitness,Emily,427,Everything Rock,1,8
2021-06-07,30,min,Apple Fitness,Kym,426,Everything Rock,12,9
2021-01-21,30,min,Apple Fitness,Gregg,424,Everything Rock,2,10
2021-01-01,30,min,Apple Fitness,Gregg,422,Everything Rock,3,11
2021-01-29,30,min,Apple Fitness,Gregg,422,Everything Rock,3,11
2021-01-13,30,min,Apple Fitness,Gregg,419,Everything Rock,4,12
2020-12-28,30,min,Apple Fitness,Emily,401,Everything Rock,2,13
2020-12-17,30,min,Apple Fitness,Gregg,375,Everything Rock,6,14
2022-01-08,20,min,Apple Fitness,Bakari,337,Everything Rock,16,15
2022-04-03,20,min,Apple Fitness,Bakari,324,Everything Rock,17,16
2021-05-09,20,min,Apple Fitness,Gregg,314,Everything Rock,8,17
2022-07-28,20,min,Apple Fitness,Sherica,310,Everything Rock,15,18
2021-06-25,20,min,Apple Fitness,Bakari,309,Everything Rock,18,19
2021-01-01,20,min,Apple Fitness,Kym,306,Everything Rock,19,20
2022-01-08,20,min,Apple Fitness,Sherica,304,Everything Rock,16,21
2021-02-18,20,min,Apple Fitness,Gregg,304,Everything Rock,10,21
2022-01-11,20,min,Apple Fitness,Sherica,300,Everything Rock,17,22
2022-07-31,20,min,Apple Fitness,Sherica,300,Everything Rock,17,22
2021-01-08,20,min,Apple Fitness,Kym,286,Everything Rock,20,23
2021-01-11,20,min,Apple Fitness,Sherica,254,Everything Rock,18,24
2021-01-17,20,min,Apple Fitness,Sherica,254,Everything Rock,18,24
2021-01-22,20,min,Apple Fitness,Sherica,254,Everything Rock,18,24
2020-12-18,20,min,Apple Fitness,Kym,232,Everything Rock,23,25
2022-07-31,10,min,Apple Fitness,Bakari,176,Everything Rock,20,26
2021-01-10,10,min,Apple Fitness,Kym,167,Everything Rock,25,27
2021-06-03,10,min,Apple Fitness,Gregg,138,Everything Rock,17,28
2020-12-16,10,min,Apple Fitness,Kym,134,Everything Rock,26,29
2020-12-16,10,min,Apple Fitness,Bakari,125,Everything Rock,21,30
2021-02-01,10,min,Apple Fitness,Emily,144,Top Country,4,1
2021-07-10,45,min,Apple Fitness,Bakari,716,Upbeat Anthems,1,1
2021-05-07,45,min,Apple Fitness,Bakari,714,Upbeat Anthems,2,2
2022-01-12,45,min,Apple Fitness,Kym,707,Upbeat Anthems,2,3
2021-02-15,45,min,Apple Fitness,Bakari,671,Upbeat Anthems,4,4
2021-01-16,45,min,Apple Fitness,Tyrell,669,Upbeat Anthems,2,5
2021-01-07,45,min,Apple Fitness,Bakari,668,Upbeat Anthems,5,6
2021-01-23,45,min,Apple Fitness,Tyrell,666,Upbeat Anthems,4,7
2020-12-30,45,min,Apple Fitness,Sherica,663,Upbeat Anthems,2,8
2021-01-14,45,min,Apple Fitness,Tyrell,643,Upbeat Anthems,6,9
2021-11-28,45,min,Apple Fitness,Sherica,596,Upbeat Anthems,4,10
2021-04-23,30,min,Apple Fitness,Kym,481,Upbeat Anthems,5,11
2021-03-11,30,min,Apple Fitness,Bakari,477,Upbeat Anthems,7,12
2021-03-26,30,min,Apple Fitness,Sherica,475,Upbeat Anthems,7,13
2022-02-06,30,min,Apple Fitness,Bakari,464,Upbeat Anthems,11,14
2020-12-29,30,min,Apple Fitness,Kym,445,Upbeat Anthems,7,15
2021-02-25,30,min,Apple Fitness,Tyrell,439,Upbeat Anthems,9,16
2021-05-31,30,min,Apple Fitness,Kym,436,Upbeat Anthems,10,17
2021-02-09,30,min,Apple Fitness,Sherica,435,Upbeat Anthems,9,18
2021-12-31,30,min,Apple Fitness,Sherica,435,Upbeat Anthems,9,18
2021-06-03,30,min,Apple Fitness,Sherica,432,Upbeat Anthems,10,19
2021-02-10,30,min,Apple Fitness,Sherica,428,Upbeat Anthems,11,20
2021-01-02,30,min,Apple Fitness,Kym,425,Upbeat Anthems,13,21
2021-01-26,30,min,Apple Fitness,Kym,420,Upbeat Anthems,14,22
2022-01-04,30,min,Apple Fitness,Kym,417,Upbeat Anthems,16,23
2022-01-03,30,min,Apple Fitness,Bakari,414,Upbeat Anthems,14,24
2021-12-04,30,min,Apple Fitness,Kym,414,Upbeat Anthems,17,24
2021-01-05,30,min,Apple Fitness,Gregg,387,Upbeat Anthems,5,25
2021-06-08,20,min,Apple Fitness,Bakari,301,Upbeat Anthems,19,26
2021-01-20,20,min,Apple Fitness,Gregg,266,Upbeat Anthems,13,27
2021-02-01,20,min,Apple Fitness,Kym,239,Upbeat Anthems,22,28
2021-02-16,30,min,Apple Fitness,Kym,469,Latin Grooves,6,1
2021-01-04,20,min,Apple Fitness,Tyrell,263,Latin Grooves,12,2
2021-02-03,45,min,Apple Fitness,Sherica,580,Throwback Hits,6,1
2021-03-02,30,min,Apple Fitness,Gregg,449,Throwback Hits,1,2
2021-03-15,30,min,Apple Fitness,Kym,438,Throwback Hits,9,3
2021-02-27,20,min,Apple Fitness,Gregg,333,Throwback Hits,7,4
2021-03-04,20,min,Apple Fitness,Gregg,301,Throwback Hits,11,5
2021-01-28,20,min,Apple Fitness,Gregg,263,Throwback Hits,14,6
2021-02-02,20,min,Apple Fitness,Tyrell,245,Throwback Hits,14,7
