Id,Date,Stage,SortOrder
0068d000002OrZqAAK,2022-03-14,Opened,0
0068d000002OrZqAAK,2022-03-21,Prospecting,1
0068d000002OrZqAAK,2022-03-24,Closed Lost,10
0068d000002OrZrAAK,2022-05-01,Opened,0
0068d000002OrZrAAK,2022-05-11,Closed Won,9
0068d000002OrZsAAK,2022-03-03,Opened,0
0068d000002OrZsAAK,2022-03-04,Prospecting,1
0068d000002OrZsAAK,2022-05-02,Prospecting,1
0068d000002OrZsAAK,2022-05-03,Prospecting,1
0068d000002OrZsAAK,2022-12-01,Negotiation/Review,8
0068d000002OrZsAAK,2022-12-06,ExpectedCloseDate,11
0068d000002OrZtAAK,2022-03-15,Opened,0
0068d000002OrZtAAK,2022-03-25,Closed Lost,10
0068d000002OrZuAAK,2022-03-01,Opened,0
0068d000002OrZuAAK,2022-03-03,Prospecting,1
0068d000002OrZuAAK,2022-03-04,Prospecting,1
0068d000002OrZuAAK,2022-03-12,Prospecting,1
0068d000002OrZuAAK,2022-04-05,Prospecting,1
0068d000002OrZuAAK,2022-04-06,Prospecting,1
0068d000002OrZuAAK,2022-08-15,Qualification,2
0068d000002OrZuAAK,2022-08-20,ExpectedCloseDate,11
0068d000002OrZvAAK,2022-02-27,Opened,0
0068d000002OrZvAAK,2022-03-08,Prospecting,1
0068d000002OrZvAAK,2022-03-09,Prospecting,1
0068d000002OrZvAAK,2022-03-18,ExpectedCloseDate,11
0068d000002OrZwAAK,2022-06-04,Opened,0
0068d000002OrZwAAK,2022-06-05,Prospecting,1
0068d000002OrZwAAK,2022-06-30,Prospecting,1
0068d000002OrZwAAK,2022-07-05,Closed Won,9
0068d000002OrZxAAK,2022-02-25,Opened,0
0068d000002OrZxAAK,2022-05-22,Prospecting,1
0068d000002OrZxAAK,2022-04-09,Prospecting,1
0068d000002OrZxAAK,2022-03-04,Value Proposition,4
0068d000002OrZxAAK,2022-03-18,Value Proposition,4
0068d000002OrZxAAK,2022-06-04,Negotiation/Review,8
0068d000002OrZxAAK,2022-09-25,ExpectedCloseDate,11
0068d000002OrZyAAK,2022-04-23,Opened,0
0068d000002OrZyAAK,2022-05-03,Negotiation/Review,8
0068d000002OrZyAAK,2022-09-18,ExpectedCloseDate,11
0068d000002OrZzAAK,2022-03-05,Opened,0
0068d000002OrZzAAK,2022-03-15,Closed Won,9
0068d000002Ora0AAC,2022-04-21,Opened,0
0068d000002Ora0AAC,2022-05-14,Qualification,2
0068d000002Ora0AAC,2022-05-15,Value Proposition,4
0068d000002Ora0AAC,2022-05-01,Negotiation/Review,8
0068d000002Ora0AAC,2022-05-29,ExpectedCloseDate,11
0068d000002Ora1AAC,2022-03-12,Opened,0
0068d000002Ora1AAC,2022-03-22,Prospecting,1
0068d000002Ora1AAC,2022-03-25,ExpectedCloseDate,11
0068d000002Ora2AAC,2022-03-04,Opened,0
0068d000002Ora2AAC,2022-10-03,Prospecting,1
0068d000002Ora2AAC,2022-03-05,Prospecting,1
0068d000002Ora2AAC,2022-10-08,Closed Won,9
0068d000002Ora3AAC,2022-02-04,Opened,0
0068d000002Ora3AAC,2022-02-14,Closed Won,9
0068d000002Ora4AAC,2022-09-30,Opened,0
0068d000002Ora4AAC,2022-10-10,Closed Won,9
0068d000002Ora5AAC,2022-08-25,Opened,0
0068d000002Ora5AAC,2022-08-30,Negotiation/Review,8
0068d000002Ora5AAC,2022-09-04,Closed Lost,10
0068d000002Ora7AAC,2022-04-02,Opened,0
0068d000002Ora7AAC,2022-04-12,Prospecting,1
0068d000002Ora7AAC,2022-06-20,ExpectedCloseDate,11
0068d000002Ora8AAC,2022-11-29,Opened,0
0068d000002Ora8AAC,2022-12-04,Qualification,2
0068d000002Ora8AAC,2022-12-09,Closed Lost,10
0068d000002Ora9AAC,2022-04-22,Opened,0
0068d000002Ora9AAC,2022-05-02,Closed Won,9
0068d000002OraAAAS,2022-03-08,Opened,0
0068d000002OraAAAS,2022-04-08,Prospecting,1
0068d000002OraAAAS,2022-04-04,Prospecting,1
0068d000002OraAAAS,2022-03-09,Prospecting,1
0068d000002OraAAAS,2022-04-09,Closed Won,9
0068d000002OraBAAS,2022-04-01,Opened,0
0068d000002OraBAAS,2022-05-13,Prospecting,1
0068d000002OraBAAS,2022-04-12,Prospecting,1
0068d000002OraBAAS,2022-05-09,Negotiation/Review,8
0068d000002OraBAAS,2022-11-23,ExpectedCloseDate,11
0068d000002OraCAAS,2022-03-02,Opened,0
0068d000002OraCAAS,2022-03-03,Prospecting,1
0068d000002OraCAAS,2022-05-16,Prospecting,1
0068d000002OraCAAS,2022-05-23,Closed Won,9
0068d000002OraDAAS,2022-10-28,Opened,0
0068d000002OraDAAS,2022-11-07,Prospecting,1
0068d000002OraDAAS,2022-11-12,ExpectedCloseDate,11
0068d000002OraEAAS,2022-03-27,Opened,0
0068d000002OraEAAS,2022-10-12,Prospecting,1
0068d000002OraEAAS,2022-05-14,Prospecting,1
0068d000002OraEAAS,2022-04-06,Negotiation/Review,8
0068d000002OraEAAS,2022-10-17,ExpectedCloseDate,11
0068d000002OraFAAS,2022-03-12,Opened,0
0068d000002OraFAAS,2022-03-22,Prospecting,1
0068d000002OraFAAS,2022-03-18,Prospecting,1
0068d000002OraFAAS,2022-03-26,ExpectedCloseDate,11
0068d000002OraGAAS,2022-09-20,Opened,0
0068d000002OraGAAS,2022-05-11,Negotiation/Review,8
0068d000002OraGAAS,2022-03-26,Negotiation/Review,8
0068d000002OraGAAS,2022-09-30,Closed Won,9
0068d000002OraHAAS,2022-02-07,Opened,0
0068d000002OraHAAS,2022-02-17,Closed Won,9
0068d000002OraIAAS,2022-03-24,Opened,0
0068d000002OraIAAS,2022-04-03,Closed Won,9
0068d000002OraJAAS,2022-03-04,Opened,0
0068d000002OraJAAS,2022-03-05,Prospecting,1
0068d000002OraJAAS,2022-08-14,Negotiation/Review,8
0068d000002OraJAAS,2022-08-19,ExpectedCloseDate,11
0068d000002OraKAAS,2022-02-05,Opened,0
0068d000002OraKAAS,2022-02-15,Closed Won,9
0068d000002OraLAAS,2022-03-13,Opened,0
0068d000002OraLAAS,2022-03-14,Prospecting,1
0068d000002OraLAAS,2022-04-23,Closed Won,9
0068d000002OraMAAS,2022-03-05,Opened,0
0068d000002OraMAAS,2022-03-06,Prospecting,1
0068d000002OraMAAS,2022-04-14,Prospecting,1
0068d000002OraMAAS,2022-04-26,ExpectedCloseDate,11
0068d000002OraNAAS,2022-06-26,Opened,0
0068d000002OraNAAS,2022-07-01,Prospecting,1
0068d000002OraNAAS,2022-07-06,Closed Won,9
0068d000002OraOAAS,2022-05-06,Opened,0
0068d000002OraOAAS,2022-05-07,Prospecting,1
0068d000002OraOAAS,2022-06-13,Value Proposition,4
0068d000002OraOAAS,2022-06-18,ExpectedCloseDate,11
0068d000002OraPAAS,2022-12-04,Opened,0
0068d000002OraPAAS,2022-12-09,Prospecting,1
0068d000002OraPAAS,2022-06-04,Negotiation/Review,8
0068d000002OraPAAS,2022-12-14,Closed Won,9
0068d000002OraQAAS,2022-03-19,Opened,0
