overall_rank,artist_name,rank_2015,rank_2016,rank_2017,rank_2018,rank_2019,rank_2020,rank_2021,rank_2022
1,Shinedown,1,7,4,14,66,23,367,337
2,Eminem,82,1,5,9,3,2,52,
3,ONE OK ROCK,12,3,1,3,4,207,241,
4,Five Finger Death Punch,334,4,3,2,6,4,100,
5,Seether,4,6,24,119,34,49,134,
6,Papa Roach,16,40,2,6,16,69,170,72
7,3 Doors Down,3,8,50,144,,645,,
8,Stone Sour,11,57,20,12,26,11,7,169
9,Foo Fighters,5,11,48,91,62,,14,
10,Nickelback,2,39,47,333,433,,,
11,Zero-Project,,2,7,130,,,435,67
12,Twenty One Pilots,,194,29,183,1,28,4,172
13,Three Days Grace,6,43,22,51,270,116,317,
14,Beissoul & Einius,,,,,2,6,10,340
15,Gorillaz,,298,,1,9,62,19,
16,Avenged Sevenfold,54,26,10,11,67,36,93,
17,Linkin Park,30,15,18,23,81,26,266,
18,RADWIMPS,,14,6,13,43,,181,
19,L'Arc-en-Ciel,10,28,147,96,207,,,
20,Slipknot,75,17,13,43,105,19,132,113
21,Thirty Seconds To Mars,9,44,51,,655,483,,
22,Disturbed,49,10,12,41,50,,550,
23,Archive,,,,,,1,2,33
24,Green Day,41,5,,267,286,48,57,182
25,Trenchcoat,13,97,21,16,316,631,,
26,Staind,8,70,55,,449,190,,
27,Breaking Benjamin,19,79,15,24,446,95,256,
28,Hollywood Undead,18,,52,8,61,,741,507
29,Vitamin String Quartet,7,,,,,,,
30,MAN WITH A MISSION,,,23,5,15,,21,285
31,Blue October,17,18,,,,390,,
32,Billy Talent,24,27,,53,119,502,327,28
33,Hoobastank,22,21,68,50,518,,,
34,Crush 40,,59,9,32,,,,
35,Bullet For My Valentine,39,65,30,47,397,,32,315
36,THE ORAL CIGARETTES,,,11,15,51,,313,
37,Milky Chance,,,,4,24,177,625,3
38,KANA-BOON,,249,19,19,17,239,159,36
39,Darren Korb,289,68,111,81,5,186,30,
40,Smile Empty Soul,20,103,222,49,21,516,269,
41,Garbage,,111,,,547,5,8,
42,WagakkiBand,,,8,20,,,,
43,BRADIO,,105,16,28,19,,606,108
44,Killswitch Engage,204,13,73,18,158,,,
45,Atmosphere,,,14,56,,108,35,
46,coldrain,,61,17,37,59,,636,
47,Daughtry,33,23,155,,,,679,
48,Creed,15,,185,,,647,,
49,Hans Zimmer,14,,,,,,,
50,Portishead,,,,,,3,670,275
51,Trapt,44,36,60,244,,,547,
52,Sixx:A.M.,28,78,163,347,495,,112,318
53,Röyksopp,,,,,,7,6,9
54,Theory of a Deadman,27,124,58,,605,616,744,
55,Volbeat,243,56,49,174,13,,503,189
56,Lit,32,51,,217,,,360,
57,The Pretty Reckless,,,,,,,1,
58,Les Friction,,16,216,129,166,231,196,
59,Chevelle,37,92,42,241,411,,,
60,Pay money To my Pain,,49,35,35,85,,,
61,Fall Out Boy,60,38,,117,128,,877,
62,Ramin Djawadi,394,33,,389,,17,147,
63,Korn,92,54,64,162,,71,897,65
64,Video Games Live,359,34,39,78,647,,,
65,Yellowcard,,9,,,,,,
66,One Less Reason,21,156,,254,371,,,
67,Big Bad Voodoo Daddy,26,,66,,419,,,
68,Skillet,214,,27,29,149,155,255,386
69,Jamie Christopherson,,25,53,131,,632,,536
70,Kavinsky,,22,138,54,828,456,477,
71,GlitchxCity,,,25,121,197,511,172,12
72,mabanua,,,,,8,87,631,6
73,Von Wegen Lisbeth,,,,10,663,184,17,
74,Corey Taylor,,,,,,21,3,62
75,Dmitri Shostakovich,,29,250,59,83,,,
76,Elton John,25,,,,,,192,
77,Philip Glass,23,,,,,,402,
78,Paramore,116,30,206,319,426,,740,
79,Red Hot Chili Peppers,220,32,,83,395,,230,193
80,Slash,,,188,,,,5,4
81,Alter Bridge,35,,,,131,637,41,
82,Scott Stapp,,12,,,,,,
83,zebrahead,,24,232,,552,561,193,
84,Hurt,29,174,,,,378,,
85,In This Moment,46,149,110,,,90,276,
86,X JAPAN,230,20,,218,,,,
87,Halestorm,38,355,84,378,,,257,
88,Justice,,35,,160,532,58,,
89,Badflower,,,,,58,24,9,276
90,Rise Against,59,132,,179,47,492,376,
91,Puddle Of Mudd,42,234,59,,,639,,
92,Nobuo Uematsu,373,19,,,,444,,
93,Frédéric Chopin,40,,,44,,601,,
94,Sum 41,223,37,261,123,199,536,,
95,UNKLE,,,,,,9,114,98
96,Daddy Was a Milkman,,,,,14,30,33,
97,Tinez Roots Club,31,,,,,,,
98,Trivium,398,94,74,36,42,,812,
99,LAST ALLIANCE,281,69,76,42,156,,,
100,Miracle Of Sound,,63,89,404,,505,60,215
