Monthly_Payment_Date,Store,Capital_Outstanding_Total,Remaining_Capital_To_Pay
2022-08-10,Lewisham,598055,249100
2022-09-10,Lewisham,596110,248200
2022-10-10,Lewisham,594165,247300
2022-11-10,Lewisham,592220,246400
2022-12-10,Lewisham,590275,245500
2023-01-10,Lewisham,588330,244600
2023-02-10,Lewisham,586385,243700
2023-03-10,Lewisham,584440,242800
2023-04-10,Lewisham,582495,241900
2023-05-10,Lewisham,580550,241000
2023-06-10,Lewisham,578605,240100
2023-07-10,Lewisham,576660,239200
2023-08-10,Lewisham,574715,238300
2023-09-10,Lewisham,572770,237400
2023-10-10,Lewisham,570825,236500
2023-11-10,Lewisham,568880,235600
2023-12-10,Lewisham,566935,234700
2024-01-10,Lewisham,564990,233800
2024-02-10,Lewisham,563045,232900
2024-03-10,Lewisham,561100,232000
2024-04-10,Lewisham,559155,231100
2024-05-10,Lewisham,557210,230200
2024-06-10,Lewisham,555265,229300
2024-07-10,Lewisham,553320,228400
2024-08-10,Lewisham,551375,227500
2024-09-10,Lewisham,549430,226600
2024-10-10,Lewisham,547485,225700
2024-11-10,Lewisham,545540,224800
2024-12-10,Lewisham,543595,223900
2025-01-10,Lewisham,541650,223000
2025-02-10,Lewisham,539705,222100
2025-03-10,Lewisham,537760,221200
2025-04-10,Lewisham,535815,220300
2025-05-10,Lewisham,533870,219400
2025-06-10,Lewisham,531925,218500
2025-07-10,Lewisham,529980,217600
2025-08-10,Lewisham,528035,216700
2025-09-10,Lewisham,526090,215800
2025-10-10,Lewisham,524145,214900
2025-11-10,Lewisham,522200,214000
2025-12-10,Lewisham,520255,213100
2026-01-10,Lewisham,518310,212200
2026-02-10,Lewisham,516365,211300
2026-03-10,Lewisham,514420,210400
2026-04-10,Lewisham,512475,209500
2026-05-10,Lewisham,510530,208600
2026-06-10,Lewisham,508585,207700
2026-07-10,Lewisham,506640,206800
2026-08-10,Lewisham,504695,205900
2026-09-10,Lewisham,502750,205000
2026-10-10,Lewisham,500805,204100
2026-11-10,Lewisham,498860,203200
2026-12-10,Lewisham,496915,202300
2027-01-10,Lewisham,494970,201400
2027-02-10,Lewisham,493025,200500
2027-03-10,Lewisham,491080,199600
2027-04-10,Lewisham,489135,198700
2027-05-10,Lewisham,487190,197800
2027-06-10,Lewisham,485245,196900
2027-07-10,Lewisham,483300,196000
2027-08-10,Lewisham,481355,195100
2027-09-10,Lewisham,479410,194200
2027-10-10,Lewisham,477465,193300
2027-11-10,Lewisham,475520,192400
2027-12-10,Lewisham,473575,191500
2028-01-10,Lewisham,471630,190600
2028-02-10,Lewisham,469685,189700
2028-03-10,Lewisham,467740,188800
2028-04-10,Lewisham,465795,187900
2028-05-10,Lewisham,463850,187000
2028-06-10,Lewisham,461905,186100
2028-07-10,Lewisham,459960,185200
2028-08-10,Lewisham,458015,184300
2028-09-10,Lewisham,456070,183400
2028-10-10,Lewisham,454125,182500
2028-11-10,Lewisham,452180,181600
2028-12-10,Lewisham,450235,180700
2029-01-10,Lewisham,448290,179800
2029-02-10,Lewisham,446345,178900
2029-03-10,Lewisham,444400,178000
2029-04-10,Lewisham,442455,177100
2029-05-10,Lewisham,440510,176200
2029-06-10,Lewisham,438565,175300
2029-07-10,Lewisham,436620,174400
2029-08-10,Lewisham,434675,173500
2029-09-10,Lewisham,432730,172600
2029-10-10,Lewisham,430785,171700
2029-11-10,Lewisham,428840,170800
2029-12-10,Lewisham,426895,169900
2030-01-10,Lewisham,424950,169000
2030-02-10,Lewisham,423005,168100
2030-03-10,Lewisham,421060,167200
2030-04-10,Lewisham,419115,166300
2030-05-10,Lewisham,417170,165400
2030-06-10,Lewisham,415225,164500
2030-07-10,Lewisham,413280,163600
2030-08-10,Lewisham,411335,162700
2030-09-10,Lewisham,409390,161800
2030-10-10,Lewisham,407445,160900
2030-11-10,Lewisham,405500,160000
2030-12-10,Lewisham,403555,159100
2031-01-10,Lewisham,401610,158200
2031-02-10,Lewisham,399665,157300
2031-03-10,Lewisham,397720,156400
2031-04-10,Lewisham,395775,155500
2031-05-10,Lewisham,393830,154600
2031-06-10,Lewisham,391885,153700
2031-07-10,Lewisham,389940,152800
2031-08-10,Lewisham,387995,151900
2031-09-10,Lewisham,386050,151000
2031-10-10,Lewisham,384105,150100
2031-11-10,Lewisham,382160,149200
2031-12-10,Lewisham,380215,148300
2032-01-10,Lewisham,378270,147400
2032-02-10,Lewisham,376325,146500
2032-03-10,Lewisham,374380,145600
2032-04-10,Lewisham,372435,144700
2032-05-10,Lewisham,370490,143800
2032-06-10,Lewisham,368545,142900
2032-07-10,Lewisham,366600,142000
2032-08-10,Lewisham,364655,141100
2032-09-10,Lewisham,362710,140200
2032-10-10,Lewisham,360765,139300
2032-11-10,Lewisham,358820,138400
2032-12-10,Lewisham,356875,137500
2033-01-10,Lewisham,354930,136600
2033-02-10,Lewisham,352985,135700
2033-03-10,Lewisham,351040,134800
2033-04-10,Lewisham,349095,133900
2033-05-10,Lewisham,347150,133000
2033-06-10,Lewisham,345205,132100
2033-07-10,Lewisham,343260,131200
2033-08-10,Lewisham,341315,130300
2033-09-10,Lewisham,339370,129400
2033-10-10,Lewisham,337425,128500
2033-11-10,Lewisham,335480,127600
2033-12-10,Lewisham,333535,126700
2034-01-10,Lewisham,331590,125800
2034-02-10,Lewisham,329645,124900
2034-03-10,Lewisham,327700,124000
2034-04-10,Lewisham,325755,123100
2034-05-10,Lewisham,323810,122200
2034-06-10,Lewisham,321865,121300
2034-07-10,Lewisham,319920,120400
2034-08-10,Lewisham,317975,119500
2034-09-10,Lewisham,316030,118600
2034-10-10,Lewisham,314085,117700
