Name,Category,Required_Level,Attack_Damage
Magma Wyrm's Scalesword,Curved Greatswords,57,188
Caestus,Fists,16,90
Greatsword,Colossal Swords,43,164
Gargoyle's Black Axe,Greataxes,54,220
Nox Flowing Hammer,Hammers,24,122
Stone Club,Hammers,24,122
Clayman's Harpoon,Spears,34,163
Torch,Torches,10,151
Gargoyle's Black Halberd,Halberds,58,226
Carian Knight's Sword,Straight Swords,38,176
Nox Flowing Sword,Curved Swords,23,112
Large Club,Great Hammers,22,131
Inquisitor's Girandole,Spears,49,168
Beastclaw Greathammer,Great Hammers,48,116
Meteoric Ore Blade,Katanas,47,184
Troll's Hammer,Colossal Weapons,46,198
Sacred Relic Sword,Greatswords,60,194
Longhaft Axe,Greataxes,32,146
Golden Epitaph,Straight Swords,36,170
Duelist Greataxe,Colossal Weapons,40,170
Claymore,Greatswords,29,138
Serpent-Hunter,Great Spears,0,111
Guardian's Swordspear,Halberds,33,139
Royal Greatsword,Colossal Swords,66,246
Troll Knight's Sword,Colossal Swords,52,204
Starscourge Greatsword,Colossal Swords,65,212
Banished Knight's Greatsword,Greatswords,26,142
Veteran's Prosthesis,Fists,27,136
Treespear,Great Spears,55,201
Iron Greatsword,Greatswords,28,149
Godslayer's Greatsword,Colossal Swords,62,196
Godskin Stitcher,Heavy Thrusting Swords,31,127
Devourer's Scepter,Great Hammers,69,181
Regalia of Eochaid,Straight Swords,45,146
Hand Axe,Axes,17,113
Ordovis's Greatsword,Greatswords,53,176
Dagger,Daggers,14,74
Envoy's Greathorn,Colossal Weapons,64,199
Rotten Staff,Colossal Weapons,42,165
Gargoyle's Blackblade,Greatswords,50,224
Helphen's Steeple,Greatswords,51,202
Golden Halberd,Halberds,56,221
Dragon Greatclaw,Colossal Weapons,44,198
Bloodhound Claws,Claws,25,94
Hammer,Hammers,21,124
Marais Executioner's Sword,Greatswords,61,155
Beast-Repellent Torch,Torches,20,162
Steel-Wire Torch,Torches,18,170
Troll's Golden Sword,Colossal Swords,39,155
Great Club,Colossal Weapons,35,154
Mace,Hammers,19,115
Sword of Night and Flame,Straight Swords,72,199
Lazuli Glintstone Sword,Straight Swords,30,173
