Id,IsDeleted,MasterRecordId,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,AccountNumber,Website,PhotoUrl,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Rating,Site,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Jigsaw,JigsawCompanyId,CleanStatus,AccountSource,DunsNumber,Tradestyle,NaicsCode,NaicsDesc,YearStarted,SicDesc,DandbCompanyId,CustomerPriority__c,SLA__c,Active__c,NumberofLocations__c,UpsellOpportunity__c,SLASerialNumber__c,SLAExpirationDate__c,Segment__c
0018d00000GMjqpAAD,false,,Sample Account for Entitlements,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/0018d00000GMjqpAAD,,,,,,,,,0058d000004QHaCAAW,2022-08-31T12:43:00.000Z,0058d000004QHaCAAW,2022-08-31T12:43:00.000Z,0058d000004QHaCAAW,2022-08-31T12:43:00.000Z,,,,,,Pending,,,,,,,,,,,,,,,,
0018d00000Ggx2dAAB,false,,Schwartz492 Inc,Customer,,,,,,Thailand,,,,,,,,,,,,,,,,/services/images/photo/0018d00000Ggx2dAAB,86900,Media,700000000,10000,,,,,0058d000004QHanAAG,2022-08-31T12:37:00.000Z,0058d000004B2qYAAS,2022-08-31T12:37:00.000Z,0058d000004B2qYAAS,2022-08-31T12:37:00.000Z,,,,,,Pending,Partner,,,,,,,,,,,,,,,SMB
0018d00000Ggx2jAAB,false,,Doyle498 Inc,Partner,,,,,,Korea,,,,,,,,,,,,,,,,/services/images/photo/0018d00000Ggx2jAAB,86900,Transportation,700000000,10000,,,,,0058d000004QHacAAG,2022-08-31T12:37:00.000Z,0058d000004B2qYAAS,2022-08-31T12:37:00.000Z,0058d000004B2qYAAS,2022-08-31T12:37:00.000Z,,,,,,Pending,Seminar - Internal,,,,,,,,,,,,,,,GB
0018d00000Ggx1lAAB,false,,Summers987 Inc,Customer,,,,,,Spain,,,,,,,,,,,,,,,,/services/images/photo/0018d00000Ggx1lAAB,64209,Transportation,700000000,10000,,,,,0058d000004QHacAAG,2022-08-31T12:37:00.000Z,0058d000004B2qYAAS,2022-08-31T12:37:00.000Z,0058d000004B2qYAAS,2022-08-31T12:37:00.000Z,2029-08-05,,,,,Pending,Public Relations,,,,,,,,,,,,,,,SMB
0018d00000Ggx1mAAB,false,,Gibbs52 Inc,Customer,,,,OK,,USA,,,,,,,,,,,,,,,,/services/images/photo/0018d00000Ggx1mAAB,64301,Media,700000000,10000,,,,,0058d000004QHaiAAG,2022-08-31T12:37:00.000Z,0058d000004B2qYAAS,2022-08-31T12:37:00.000Z,0058d000004B2qYAAS,2022-08-31T12:37:00.000Z,,,,,,Pending,Seminar - Internal,,,,,,,,,,,,,,,ENT
0018d00000Ggx1nAAB,false,,Brown53 Inc,Partner,,,,,,Mexico,,,,,,,,,,,,,,,,/services/images/photo/0018d00000Ggx1nAAB,64302,Technology,700000000,10000,,,,,0058d000004QHalAAG,2022-08-31T12:37:00.000Z,0058d000004B2qYAAS,2022-08-31T12:37:00.000Z,0058d000004B2qYAAS,2022-08-31T12:37:00.000Z,,,,,,Pending,Employee Referral,,,,,,,,,,,,,,,MM
0018d00000Ggx1oAAB,false,,Walsh54 Inc,Customer,,,,,,Italy,,,,,,,,,,,,,,,,/services/images/photo/0018d00000Ggx1oAAB,64303,Telecommunications,700000000,10000,,,,,0058d000004QHamAAG,2022-08-31T12:37:00.000Z,0058d000004B2qYAAS,2022-08-31T12:37:00.000Z,0058d000004B2qYAAS,2022-08-31T12:37:00.000Z,2029-08-09,,,,,Pending,Public Relations,,,,,,,,,,,,,,,SMB
0018d00000Ggx1pAAB,false,,Leonard55 Inc,Customer,,,,,,Taiwan,,,,,,,,,,,,,,,,/services/images/photo/0018d00000Ggx1pAAB,64304,Transportation,700000000,10000,,,,,0058d000004QHaiAAG,2022-08-31T12:37:00.000Z,0058d000004B2qYAAS,2022-08-31T12:37:00.000Z,0058d000004B2qYAAS,2022-08-31T12:37:00.000Z,,,,,,Pending,Employee Referral,,,,,,,,,,,,,,,MM
0018d00000Ggx1qAAB,false,,Martin56 Inc,Partner,,,,NM,,USA,,,,,,,,,,,,,,,,/services/images/photo/0018d00000Ggx1qAAB,64305,Telecommunications,700000000,10000,,,,,0058d000004QHanAAG,2022-08-31T12:37:00.000Z,0058d000004B2qYAAS,2022-08-31T12:37:00.000Z,0058d000004B2qYAAS,2022-08-31T12:37:00.000Z,,,,,,Pending,Partner,,,,,,,,,,,,,,,SMB
0018d00000Ggx1rAAB,false,,Manning57 Inc,Customer,,,,ID,,USA,,,,,,,,,,,,,,,,/services/images/photo/0018d00000Ggx1rAAB,64306,Engineering,700000000,10000,,,,,0058d000004QHabAAG,2022-08-31T12:37:00.000Z,0058d000004B2qYAAS,2022-08-31T12:37:00.000Z,0058d000004B2qYAAS,2022-08-31T12:37:00.000Z,,,,,,Pending,Web,,,,,,,,,,,,,,,ENT
