Id,IsDeleted,AccountId,RecordTypeId,IsPrivate,Name,StageName,Amount,Probability,ExpectedRevenue,TotalOpportunityQuantity,CloseDate,Type,NextStep,LeadSource,IsClosed,IsWon,ForecastCategory,ForecastCategoryName,CampaignId,HasOpportunityLineItem,Pricebook2Id,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,PushCount,LastStageChangeDate,FiscalQuarter,FiscalYear,Fiscal,ContactId,LastViewedDate,LastReferencedDate,HasOpenActivity,HasOverdueTask,LastAmountChangedHistoryId,LastCloseDateChangedHistoryId,DeliveryInstallationStatus__c,TrackingNumber__c,OrderNumber__c,CurrentGenerators__c,MainCompetitors__c,Opportunity_Source__c
0068d000009MW7xAAG,false,0018d00000Ggx90AAB,0128d000001J21VAAS,false,Opportunity for Hunt157,Closed Won,353136,100,353136,,2028-06-01,New Business,,Employee Referral,true,true,Closed,Closed,,false,,0058d000004QHadAAG,2022-08-31T12:37:00.000Z,0058d000004B2qYAAS,2022-08-31T12:37:00.000Z,0058d000004B2qYAAS,2022-08-31T12:37:00.000Z,,0,,2,2021,2021 2,,,,false,false,,,,,,,,AE
0068d000009MWKBAA4,false,0018d00000Ggx3oAAB,0128d000001J21VAAS,false,Opportunity for Newman1387,Closed Won,2451210,100,2451210,4127,2028-05-30,Existing Business,,Seminar - Internal,true,true,Closed,Closed,,true,01s8d000005Us9zAAC,0058d000004QHalAAG,2022-08-31T12:37:00.000Z,0058d000004B2qYAAS,2022-08-31T12:37:00.000Z,0058d000004B2qYAAS,2022-08-31T12:37:00.000Z,,0,,2,2021,2021 2,,,,false,false,0088d00000Ou4OwAAJ,,,,,,,Marketing
0068d000009MWKHAA4,false,0018d00000GgwtqAAB,0128d000001J21VAAS,false,Opportunity for Moran1395,Closed Won,234500,100,234500,469,2028-06-08,Existing Business,,Word of mouth,true,true,Closed,Closed,,true,01s8d000005Us9zAAC,0058d000004QHamAAG,2022-08-31T12:37:00.000Z,0058d000004B2qYAAS,2022-08-31T12:37:00.000Z,0058d000004B2qYAAS,2022-08-31T12:37:00.000Z,,0,,2,2021,2021 2,,,,false,false,,,,,,,,BDR
0068d000009MWHDAA4,false,0018d00000Ggx5OAAR,0128d000001J21VAAS,false,Opportunity for West913,Closed Won,1418640,100,1418640,2742,2028-06-19,New Business,,Advertisement,true,true,Closed,Closed,,true,01s8d000005Us9zAAC,0058d000004QHaaAAG,2022-08-31T12:37:00.000Z,0058d000004B2qYAAS,2022-08-31T12:37:00.000Z,0058d000004B2qYAAS,2022-08-31T12:37:00.000Z,,0,,2,2021,2021 2,,,,false,false,0088d00000Ou4NbAAJ,,,,,,,AE
0068d000009MWLcAAO,false,0018d00000GgwuBAAR,0128d000001J21VAAS,false,Opportunity for Hart1061,Closed Won,258140,100,258140,2009,2028-06-24,New Business,,Web,true,true,Closed,Closed,,true,01s8d000005Us9zAAC,0058d000004QHagAAG,2022-08-31T12:37:00.000Z,0058d000004B2qYAAS,2022-08-31T12:37:00.000Z,0058d000004B2qYAAS,2022-08-31T12:37:00.000Z,,0,,2,2021,2021 2,,,,false,false,0088d00000Ou4PSAAZ,,,,,,,AE
0068d000009MWHMAA4,false,0018d00000GgwvnAAB,0128d000001J21VAAS,false,Opportunity for Ball1294,Closed Won,27800,100,27800,695,2028-06-06,Existing Business,,Partner,true,true,Closed,Closed,,true,01s8d000005Us9zAAC,0058d000004QHaoAAG,2022-08-31T12:37:00.000Z,0058d000004B2qYAAS,2022-08-31T12:37:00.000Z,0058d000004B2qYAAS,2022-08-31T12:37:00.000Z,,0,,2,2021,2021 2,,,,false,false,,,,,,,,Alliances
0068d000009MWElAAO,false,0018d00000GgwxtAAB,0128d000001J21VAAS,false,Opportunity for Glover1974,Closed Won,48440,100,48440,1211,2028-06-12,Existing Business,,Partner,true,true,Closed,Closed,,true,01s8d000005Us9zAAC,0058d000004QHaYAAW,2022-08-31T12:37:00.000Z,0058d000004B2qYAAS,2022-08-31T12:37:00.000Z,0058d000004B2qYAAS,2022-08-31T12:37:00.000Z,,0,,2,2021,2021 2,,,,false,false,0088d00000Ou4MUAAZ,,,,,,,AE
0068d000009MW8kAAG,false,0018d00000Ggwz3AAB,0128d000001J21VAAS,false,Opportunity for Abbott414,Closed Won,206587,100,206587,,2028-05-31,New Business,,Employee Referral,true,true,Closed,Closed,,false,,0058d000004QHaYAAW,2022-08-31T12:37:00.000Z,0058d000004B2qYAAS,2022-08-31T12:37:00.000Z,0058d000004B2qYAAS,2022-08-31T12:37:00.000Z,,0,,2,2021,2021 2,,,,false,false,,,,,,,,AE
0068d000009MW8yAAG,false,0018d00000GgwvYAAR,0128d000001J21VAAS,false,Opportunity for Black67,Closed Won,1683760,100,1683760,3892,2028-06-16,New Business,,Web,true,true,Closed,Closed,,true,01s8d000005Us9zAAC,0058d000004QHaZAAW,2022-08-31T12:37:00.000Z,0058d000004B2qYAAS,2022-08-31T12:37:00.000Z,0058d000004B2qYAAS,2022-08-31T12:37:00.000Z,,0,,2,2021,2021 2,,,,false,false,0088d00000Ou4K8AAJ,,,,,,,Marketing
0068d000009MW9iAAG,false,0018d00000GgwyCAAR,0128d000001J21VAAS,false,Opportunity for Willis238,Closed Won,2250950,100,2250950,1942,2028-06-03,New Business,,Seminar - Internal,true,true,Closed,Closed,,true,01s8d000005Us9zAAC,0058d000004QHacAAG,2022-08-31T12:37:00.000Z,0058d000004B2qYAAS,2022-08-31T12:37:00.000Z,0058d000004B2qYAAS,2022-08-31T12:37:00.000Z,,0,,2,2021,2021 2,,,,false,false,0088d00000Ou4KSAAZ,,,,,,,Alliances
